"Fertilizer","Growth"
"Control",21.2415134717726
"Control",20.071282807422
"Control",21.5463089686859
"Control",22.544978171059
"Control",20.7419508661011
"Control",19.674291326123
"Control",20.7942237750444
"Control",19.8400213652243
"Control",19.3100696321329
"Control",21.4043027279951
"Organic",24.2086072134391
"Organic",21.4898919028623
"Organic",24.1580724733777
"Organic",26.5298192248101
"Organic",27.13232422589
"Organic",24.6126072854656
"Organic",24.8957059733698
"Organic",25.8353416348922
"Organic",22.3746119436339
"Organic",29.8580384174218
"NitrogenRich",31.5108586964557
"NitrogenRich",33.4675708340144
"NitrogenRich",37.7055628969451
"NitrogenRich",33.3430505972144
"NitrogenRich",31.7683014880383
"NitrogenRich",29.3972960221881
"NitrogenRich",30.1643994897975
"NitrogenRich",32.1014320901648
"NitrogenRich",31.2397342708577
"NitrogenRich",33.4452502099077
"Compost",25.9484848131238
"Compost",31.639741106159
"Compost",25.4591649700383
"Compost",29.177631543459
"Compost",26.7314932869679
"Compost",25.4683691788075
"Compost",28.5674980055159
"Compost",25.0364776659584
"Compost",29.8237593074583
"Compost",29.9429375391063
